"module name","Origin","licenses","copyright"
"@babel/code-frame@7.12.11","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/code-frame@7.14.5","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/compat-data@7.14.7","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/core@7.14.6","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/generator@7.14.5","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/helper-compilation-targets@7.14.5","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/helper-function-name@7.14.5","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/helper-get-function-arity@7.14.5","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/helper-hoist-variables@7.14.5","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/helper-member-expression-to-functions@7.14.7","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/helper-module-imports@7.14.5","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/helper-module-transforms@7.14.5","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/helper-optimise-call-expression@7.14.5","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/helper-plugin-utils@7.14.5","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/helper-replace-supers@7.14.5","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/helper-simple-access@7.14.5","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/helper-split-export-declaration@7.14.5","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/helper-validator-identifier@7.14.5","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/helper-validator-option@7.14.5","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/helpers@7.14.6","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/highlight@7.14.5","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/parser@7.14.7","npm","MIT","Copyright (C) 2012-2014 by various contributors (see AUTHORS)"
"@babel/plugin-syntax-async-generators@7.8.4","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/plugin-syntax-bigint@7.8.3","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/plugin-syntax-class-properties@7.12.13","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/plugin-syntax-import-meta@7.10.4","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/plugin-syntax-json-strings@7.8.3","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/plugin-syntax-logical-assignment-operators@7.10.4","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/plugin-syntax-numeric-separator@7.10.4","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/plugin-syntax-object-rest-spread@7.8.3","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/plugin-syntax-optional-catch-binding@7.8.3","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/plugin-syntax-optional-chaining@7.8.3","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/plugin-syntax-top-level-await@7.14.5","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/plugin-syntax-typescript@7.14.5","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/runtime-corejs3@7.14.7","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/runtime@7.14.6","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/template@7.14.5","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/traverse@7.14.7","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@babel/types@7.14.5","npm","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors"
"@bcoe/v8-coverage@0.2.3","npm","MIT","Copyright © 2015-2017 Charles Samborski"
"@datadog/browser-core@2.17.0","npm","Apache-2.0",""
"@datadog/browser-rum-core@2.17.0","npm","Apache-2.0",""
"@discoveryjs/json-ext@0.5.3","npm","MIT","Copyright (c) 2020 Roman Dvornov <rdvornov@gmail.com>"
"@eslint/eslintrc@0.3.0","npm","MIT","Copyright (c) 2020 ESLint"
"@istanbuljs/load-nyc-config@1.1.0","npm","ISC","Copyright (c) 2019, Contributors"
"@istanbuljs/schema@0.1.3","npm","MIT","Copyright (c) 2019 CFWare, LLC"
"@jest/console@27.0.6","npm","MIT","Copyright (c) Facebook, Inc. and its affiliates."
"@jest/core@27.0.6","npm","MIT","Copyright (c) Facebook, Inc. and its affiliates."
"@jest/environment@27.0.6","npm","MIT","Copyright (c) Facebook, Inc. and its affiliates."
"@jest/fake-timers@27.0.6","npm","MIT","Copyright (c) Facebook, Inc. and its affiliates."
"@jest/globals@27.0.6","npm","MIT","Copyright (c) Facebook, Inc. and its affiliates."
"@jest/reporters@27.0.6","npm","MIT","Copyright (c) Facebook, Inc. and its affiliates."
"@jest/source-map@27.0.6","npm","MIT","Copyright (c) Facebook, Inc. and its affiliates."
"@jest/test-result@27.0.6","npm","MIT","Copyright (c) Facebook, Inc. and its affiliates."
"@jest/test-sequencer@27.0.6","npm","MIT","Copyright (c) Facebook, Inc. and its affiliates."
"@jest/transform@27.0.6","npm","MIT","Copyright (c) Facebook, Inc. and its affiliates."
"@jest/types@26.6.2","npm","MIT","Copyright (c) Facebook, Inc. and its affiliates."
"@jest/types@27.0.6","npm","MIT","Copyright (c) Facebook, Inc. and its affiliates."
"@nodelib/fs.scandir@2.1.5","npm","MIT","Copyright (c) Denis Malinochkin"
"@nodelib/fs.stat@2.0.5","npm","MIT","Copyright (c) Denis Malinochkin"
"@nodelib/fs.walk@1.2.8","npm","MIT","Copyright (c) Denis Malinochkin"
"@sinonjs/commons@1.8.3","npm","BSD-3-Clause","Copyright (c) 2018, Sinon.JS. All rights reserved."
"@sinonjs/fake-timers@7.1.2","npm","BSD-3-Clause","Copyright (c) 2010-2014, Christian Johansen, christian@cjohansen.no. All rights reserved."
"@testing-library/dom@8.1.0","npm","MIT",""
"@testing-library/react-hooks@7.0.1","npm","MIT",""
"@testing-library/react@12.0.0","npm","MIT",""
"@tootallnate/once@1.1.2","npm","MIT",""
"@types/aria-query@4.2.2","npm","MIT",""
"@types/babel__core@7.1.15","npm","MIT",""
"@types/babel__generator@7.6.3","npm","MIT",""
"@types/babel__template@7.4.1","npm","MIT",""
"@types/babel__traverse@7.14.2","npm","MIT",""
"@types/eslint-scope@3.7.1","npm","MIT",""
"@types/eslint@7.28.0","npm","MIT",""
"@types/estree@0.0.46","npm","MIT",""
"@types/estree@0.0.50","npm","MIT",""
"@types/graceful-fs@4.1.5","npm","MIT",""
"@types/history@4.7.9","npm","MIT",""
"@types/istanbul-lib-coverage@2.0.3","npm","MIT",""
"@types/istanbul-lib-report@3.0.0","npm","MIT",""
"@types/istanbul-reports@3.0.1","npm","MIT",""
"@types/jest@26.0.24","npm","MIT",""
"@types/json-schema@7.0.8","npm","MIT",""
"@types/node@16.3.2","npm","MIT",""
"@types/pako@1.0.1","npm","MIT",""
"@types/prettier@2.3.2","npm","MIT",""
"@types/prop-types@15.7.4","npm","MIT",""
"@types/react-dom@16.9.14","npm","MIT",""
"@types/react-dom@17.0.9","npm","MIT",""
"@types/react-router-dom@5.1.8","npm","MIT",""
"@types/react-router@5.1.16","npm","MIT",""
"@types/react-test-renderer@17.0.1","npm","MIT",""
"@types/react@16.14.11","npm","MIT",""
"@types/scheduler@0.16.2","npm","MIT",""
"@types/stack-utils@2.0.1","npm","MIT",""
"@types/yargs-parser@20.2.1","npm","MIT",""
"@types/yargs@15.0.14","npm","MIT",""
"@types/yargs@16.0.4","npm","MIT",""
"@typescript-eslint/eslint-plugin@4.15.0","npm","MIT","Copyright (c) 2019 TypeScript ESLint and other contributors"
"@typescript-eslint/experimental-utils@4.15.0","npm","MIT","Copyright (c) 2019 TypeScript ESLint and other contributors"
"@typescript-eslint/parser@4.15.0","npm","BSD-2-Clause",""
